Assumes 1 GHz with clock period of 1 ns or 1000 ps
count=          1 wc_time=        212 seconds, rt_time=     236000 ps, cycles/sec= 1.113208
count=          2 wc_time=         42 seconds, rt_time=     504000 ps, cycles/sec= 12.000000
count=          3 wc_time=         48 seconds, rt_time=     591000 ps, cycles/sec= 12.312500
count=          4 wc_time=         49 seconds, rt_time=     596000 ps, cycles/sec= 12.163265
count=          5 wc_time=         53 seconds, rt_time=     641000 ps, cycles/sec= 12.094340
count=          6 wc_time=         53 seconds, rt_time=     643000 ps, cycles/sec= 12.132075
count=          7 wc_time=         45 seconds, rt_time=     556000 ps, cycles/sec= 12.355556
count=          8 wc_time=         56 seconds, rt_time=     680000 ps, cycles/sec= 12.142857
count=          9 wc_time=         49 seconds, rt_time=     597000 ps, cycles/sec= 12.183673
count=         10 wc_time=         52 seconds, rt_time=     634000 ps, cycles/sec= 12.192308
count=         11 wc_time=         46 seconds, rt_time=     558000 ps, cycles/sec= 12.130435
count=         12 wc_time=         49 seconds, rt_time=     599000 ps, cycles/sec= 12.224490
count=         13 wc_time=         45 seconds, rt_time=     557000 ps, cycles/sec= 12.377778
count=         14 wc_time=         49 seconds, rt_time=     598000 ps, cycles/sec= 12.204082
count=         15 wc_time=         52 seconds, rt_time=     637000 ps, cycles/sec= 12.250000
count=         16 wc_time=         50 seconds, rt_time=     600000 ps, cycles/sec= 12.000000
count=         17 wc_time=         56 seconds, rt_time=     681000 ps, cycles/sec= 12.160714
count=         18 wc_time=         55 seconds, rt_time=     632000 ps, cycles/sec= 11.490909
count=         19 wc_time=         49 seconds, rt_time=     596000 ps, cycles/sec= 12.163265
count=         20 wc_time=         53 seconds, rt_time=     643000 ps, cycles/sec= 12.132075
count=         21 wc_time=         53 seconds, rt_time=     635000 ps, cycles/sec= 11.981132
count=         22 wc_time=         49 seconds, rt_time=     596000 ps, cycles/sec= 12.163265
count=         23 wc_time=         49 seconds, rt_time=     598000 ps, cycles/sec= 12.204082
count=         24 wc_time=         53 seconds, rt_time=     643000 ps, cycles/sec= 12.132075
count=         25 wc_time=         53 seconds, rt_time=     639000 ps, cycles/sec= 12.056604
count=         26 wc_time=         50 seconds, rt_time=     594000 ps, cycles/sec= 11.880000
count=         27 wc_time=         49 seconds, rt_time=     595000 ps, cycles/sec= 12.142857
count=         28 wc_time=         53 seconds, rt_time=     638000 ps, cycles/sec= 12.037736
